,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,Animal,Behavior
3679,-0.2262,0.1924,0.9522,-0.1048,0.2624,0.9384,-0.158,0.2377,0.8737,-0.0391,0.2268,1.001,-0.0235,0.219,1.0166,-0.2659,0.3206,0.8133,-0.1095,0.3128,0.9462,-0.086,0.3284,0.3988,-0.3284,0.4301,0.6569,-0.4536,0.5474,0.6882,-0.4145,0.3519,1.0166,-0.477,0.305,0.9384,-0.3519,0.3284,0.8602,-0.2581,0.1799,0.8524,-0.2502,0.2581,0.8211,-0.3832,0.391,0.8837,0.0235,0.3284,1.1183,-0.7116,0.4223,1.0166,-0.5318,0.2972,1.0244,-0.4614,0.5239,0.954,-0.5943,0.5083,0.9306,-0.5943,0.4692,0.8367,-0.4223,0.4848,0.8289,-0.4223,0.3832,0.8524,-0.3754,0.2346,0.8133,-0.477,0.5083,0.8602,-0.4927,0.4848,0.8133,-0.7351,0.4066,0.9149,-0.61,0.4536,0.7976,-0.2893,0.4927,0.954,-0.2193,0.492,0.9146,-0.2168,0.4827,0.8915,-0.1195,0.5352,0.7154,-0.2577,0.4382,0.7554,-0.3003,0.3957,0.8227,-0.3147,0.3813,0.8289,-0.3206,0.3754,0.8311,-0.3231,0.3754,0.8342,-0.3256,0.3754,0.8289,-0.3206,0.3722,0.8258,-0.3241,0.371,0.8211,-0.2421,0.4129,0.9074,-0.0266,0.4007,0.9318,-0.2599,0.5183,0.8812,-0.3675,0.2502,0.8352,-0.2781,0.3547,0.6875,-0.3,0.5524,0.5724,-0.2543,0.5024,0.7107,-0.3951,0.568,0.8396,-0.427,0.6006,0.7726,CAF001,Dig
3680,-0.3566,0.7598,0.7376,-0.3166,0.6384,0.7351,-0.4207,0.6178,0.7423,-0.4379,0.5318,0.7273,-0.3988,0.5005,0.7585,-0.391,0.4848,0.7585,-0.391,0.4692,0.7507,-0.391,0.477,0.7585,-0.3832,0.477,0.7507,-0.3832,0.4692,0.7507,-0.3441,0.4536,0.8367,-0.2033,0.3597,0.8915,-0.5865,0.7116,1.0401,-0.3441,0.2268,0.954,-0.1955,0.4066,0.7976,0.391,0.4614,0.9306,-0.1095,0.2033,0.9306,-0.1877,0.2737,0.8993,-0.2815,0.2737,0.8915,-0.2346,0.2972,0.7976,-0.2581,0.2737,0.8602,-0.3363,0.2502,0.8524,-0.2268,0.3128,0.868,-0.1799,0.2815,0.9697,0.0235,0.1486,0.9071,0.2893,-0.0626,0.7664,0.1251,0.172,0.7038,0.0782,0.1251,0.8524,-0.3128,0.172,0.9775,-0.2424,0.2581,0.8367,-0.2806,0.3062,0.9609,-0.2481,0.3394,0.9203,-0.1442,0.3838,0.7257,-0.2168,0.427,0.8564,-0.1971,0.3175,0.9759,-0.2646,0.2587,0.8102,-0.0647,0.152,0.6021,-0.0504,0.045,0.6772,-0.0613,0.1436,0.8987,-0.097,0.158,0.9556,0.0094,0.1789,0.8552,0.005,0.1839,0.904,0.0538,0.1514,1.0382,0.3572,-0.0063,1.0476,0.3847,0.0454,1.0494,0.2865,-0.0416,1.0713,0.1351,-0.1379,1.0448,0.0851,0.2724,1.0041,-0.0131,0.4776,0.9753,-0.1408,0.4489,0.7945,CAF001,Dig
3681,-0.2168,0.6941,0.7573,-0.2199,0.6466,0.7723,-0.183,0.5687,0.7742,-0.1251,0.5474,0.8055,-0.0938,0.5396,0.7976,-0.0938,0.5236,0.813,-0.0938,0.5161,0.8055,-0.0938,0.5152,0.8064,-0.0938,0.5083,0.8133,-0.0938,0.5067,0.8133,-0.0938,0.5024,0.8133,-0.0785,0.5368,0.8549,0.081,0.5349,0.9969,0.2321,0.3331,1.1023,-0.0563,0.1924,1.0604,0.0297,0.2315,0.9838,0.0059,0.6056,1.2365,-0.2014,0.6259,1.2528,-0.0013,0.1742,0.9406,0.1079,0.0219,0.8274,0.1986,0.1426,0.8267,0.1417,0.092,1.0338,0.1242,-0.0375,0.9594,0.0854,0.0188,1.0638,0.0579,0.2346,1.0182,0.0219,0.1304,0.9997,0.0982,-0.036,1.1179,0.1383,0.1107,1.0548,0.3206,0.0078,1.1183,0.2659,0.0313,1.1495,0.3128,0.0313,1.1417,0.2033,-0.0235,1.0244,0.2111,-0.0078,1.3216,-0.4223,-0.3519,1.1652,-0.1173,-0.3441,0.9853,-0.0704,-0.2972,1.1183,0.1173,-0.6569,1.0792,-0.0235,-0.4614,1.1339,-0.0313,-0.5005,0.9775,-0.0782,-0.4692,1.0244,0.0313,-0.4614,0.9697,0.1955,-0.3597,0.9384,-0.5083,-0.9228,0.9697,-0.2033,-0.6178,0.8524,-0.2581,-0.6569,0.8133,-0.3363,-0.6256,0.9149,-0.3441,-0.5709,0.8367,-0.3519,-0.4457,0.8211,-0.3597,-0.3441,0.8446,-0.4223,-0.305,0.9071,CAF001,Dig
3682,-0.2033,-0.2972,0.8915,-0.2815,-0.3519,0.8289,-0.2346,-0.2424,0.8837,0.0704,-0.1251,0.8758,-0.0156,-0.2346,0.9071,-0.5449,-0.3206,1.2149,-0.4473,-0.1592,1.0973,-0.0654,-0.4473,1.1599,-0.3187,-0.3065,1.325,0.1501,-0.111,0.94,-0.3128,-0.183,1.1339,-0.4026,-0.3888,1.0989,-0.5909,-0.3131,1.0538,-0.4019,-0.198,1.1186,-0.1236,-0.2268,1.0604,0.0175,-0.2143,1.0695,0.0263,-0.2693,0.7942,0.0873,-0.2449,0.6844,0.0166,-0.2549,0.8671,-0.0673,-0.2846,0.9963,-0.0003,-0.2465,1.0419,0.0125,-0.1417,0.9847,0.0676,-0.0848,0.9809,0.0701,-0.0901,1.0685,0.1689,-0.1064,1.1323,-0.0278,-0.2014,0.8067,-0.0979,-0.0676,0.798,-0.0873,-0.0109,1.0141,0.7351,0.086,1.0166,-0.1564,0.2502,1.1808,-0.0156,0.3597,1.1808,-0.0313,0.2659,1.0244,-0.1642,0.3363,0.9306,-0.2268,0.3988,0.7429,-0.0313,0.4457,0.8602,0.1408,0.5474,0.8211,0.0626,0.4066,0.8602,-0.0313,0.3754,0.7742,-0.1799,0.3832,0.8211,-0.172,0.3441,0.8758,-0.1799,0.3284,0.8837,-0.1799,0.3206,0.8915,-0.1799,0.3206,0.8915,-0.1799,0.3128,0.8915,-0.1799,0.3128,0.8915,-0.1877,0.305,0.8837,-0.1877,0.305,0.8837,-0.1799,0.305,0.8915,-0.1877,0.2972,0.8915,-0.1329,0.3128,1.2121,CAF001,Dig
3683,0.2659,-0.4501,0.8152,0.0181,-0.3757,0.7113,0.2937,-0.5827,0.9124,0.2033,-0.5552,0.8211,0.1095,-0.2893,0.8524,0.1486,-0.5552,0.9149,0.2502,-0.2033,0.8133,-0.6178,-0.7194,1.0635,-0.2659,-0.3363,0.7976,-0.1799,-0.2581,0.8211,-0.3988,-0.6412,1.2981,-0.1251,-0.4379,1.1965,0.0235,-0.3597,1.0792,0.0938,-0.305,1.0479,0.3441,-0.2111,1.0088,0.2424,-0.3441,0.8915,0.219,-0.2815,0.868,0.2737,-0.2502,1.173,-0.7507,-0.4145,1.1026,-0.3519,-0.5318,0.9306,-0.6256,-0.5943,0.563,-0.1251,-0.696,0.7898,0.0782,-0.5161,0.8758,0.3206,-0.5161,1.1495,0.2972,-0.4536,1.4154,-0.9384,-0.7273,1.5562,-0.6256,-0.3597,1.3059,0.2111,-0.4457,0.9071,0.1095,-0.5396,1.0713,0.1564,-0.4379,0.8367,0.1583,-0.106,0.7642,0.005,-0.0385,0.7504,-0.1013,-0.1811,1.1655,0.0319,0.0491,0.8884,0.147,0.1048,0.6678,0.2227,0.1342,0.7879,0.1846,0.0716,0.7757,0.2152,-0.1392,1.1167,-0.0019,-0.0038,1.0607,0.3503,-0.0782,1.0901,0.1886,-0.0891,1.1245,0.3488,-0.1179,1.0688,0.7798,-0.0651,1.02,0.3256,-0.0707,1.0438,-0.0375,-0.28,0.6162,0.4035,-0.2287,0.3278,0.7886,-0.218,0.4852,0.8837,-0.0497,0.7298,0.5449,-0.0995,0.7144,0.3065,-0.1595,0.6944,CAF001,Dig
3684,0.2934,0.046,0.5974,-1.1617,-0.4439,1.8311,-0.2455,-0.3938,1.5846,0.2111,-0.0391,1.1026,0.2424,-0.0547,0.9853,0.4195,0.0153,1.0885,0.3513,0.0041,0.9371,0.3478,-0.0307,0.9199,0.4267,0.0313,0.9256,0.4301,-0.0188,1.1339,-0.5471,-0.1664,1.2916,-0.2102,-0.0219,0.884,-0.0619,-0.0006,0.8971,-0.122,0.2543,0.944,-0.1376,0.3926,0.757,-0.0516,0.3804,0.7144,0.0935,0.3691,0.9703,0.2277,0.422,0.9906,0.3159,0.447,1.1433,-0.0407,0.5161,1.3513,-0.1777,0.0588,0.959,-0.2452,-0.0244,0.6603,-0.2058,0.2359,0.5953,-0.2771,0.2853,0.6638,-0.3003,0.3191,0.8133,-0.1067,0.6832,0.7986,-0.091,0.6613,0.9137,0.0357,0.5627,0.8011,-0.1173,0.4536,0.8211,0.0,0.2424,0.7429,-0.0391,0.3675,0.9306,-0.0626,0.3206,0.9228,-0.0782,0.305,0.9071,-0.0782,0.305,0.9149,-0.086,0.2972,0.9071,-0.086,0.2972,0.8993,-0.086,0.2972,0.9071,-0.0938,0.2972,0.9071,-0.0938,0.2972,0.9149,-0.086,0.2972,0.9071,-0.0626,0.3128,1.087,0.0626,0.0938,1.0166,-0.9228,0.6647,1.0792,-0.5474,-0.4301,0.7351,-0.3128,-0.0078,1.1183,0.1408,0.0469,0.7116,0.2424,0.2737,0.6334,0.1173,0.219,1.001,0.5474,-0.0156,0.9462,0.4223,0.0469,0.954,CAF001,Dig
3685,0.3597,-0.0078,0.9071,0.3754,0.1564,1.1026,0.4692,0.4223,1.0088,-0.2502,-0.172,0.9071,0.0469,0.1408,0.8837,0.4661,-0.2815,1.0204,0.2171,0.1114,1.1198,0.412,0.2978,1.2052,0.6228,0.2152,1.0238,0.2409,0.2549,1.0088,-0.1139,-0.2205,1.2152,-0.056,-0.366,0.8658,0.243,-0.3241,0.6287,0.1339,-0.3948,0.7745,0.4536,-0.3065,0.8508,0.4645,-0.2715,0.9497,-0.2499,-0.5574,1.0598,-0.5996,-0.5899,0.7711,-0.3744,-0.5136,0.7273,-0.4551,-0.7132,0.9931,-0.5139,-0.772,0.8505,-0.116,-0.7238,0.8202,0.158,-0.4561,0.7645,0.1501,-0.3538,0.7926,0.2596,-0.5959,0.9134,0.0463,-0.3022,1.0041,0.0206,-0.214,1.0579,0.0235,-0.3191,0.9484,0.1408,-0.3832,0.868,0.2581,-0.3754,0.8524,0.2972,-0.4301,0.9228,0.5083,-0.3128,0.8211,1.4311,-0.219,0.9228,0.7038,-0.1642,0.8446,0.3754,-0.1642,0.7898,0.4692,0.1408,0.7976,-0.0235,-0.1408,0.782,-0.2424,-0.2815,0.6725,-0.3284,-0.3675,0.6412,-0.1799,-0.4457,0.7742,-0.2972,-0.5943,0.9775,-0.3206,-0.5239,0.8289,-0.2268,-0.5083,0.7585,-0.3206,-0.3519,0.8133,-0.2424,-0.2972,0.8602,-0.1877,-0.2815,0.9149,-0.1799,-0.2737,0.9228,-0.172,-0.2581,0.9306,-0.172,-0.2659,0.9384,-0.172,-0.2581,0.9306,CAF001,Dig
3686,-0.172,-0.2581,0.9306,-0.172,-0.2581,0.9228,-0.1017,-0.2893,1.3372,0.1564,-0.2737,1.3763,-0.9228,-0.4614,1.6266,-0.4451,-0.4689,1.0942,-0.2362,-0.2881,1.0541,-0.137,-0.4507,0.7767,0.0638,-0.4276,0.8611,0.0766,-0.4051,0.9556,0.1298,-0.3619,1.1045,0.1971,-0.3528,1.0451,-0.1745,-0.3303,1.3266,-0.7122,-0.1445,1.2449,-0.3456,0.0,1.0135,-0.0385,0.1314,1.2187,0.1204,0.2721,1.1423,0.1245,0.2193,1.0692,0.1139,0.2531,1.0385,0.1736,0.2737,1.0463,0.1461,0.2387,0.985,0.2158,0.1551,1.0019,1.6059,0.4855,0.5965,1.0275,0.3344,0.7154,0.599,-0.1955,0.8305,0.375,-0.0357,1.0929,0.2881,0.1326,0.9215,0.1448,-0.0457,0.7908,0.2346,-0.5396,0.6412,0.2424,-0.1642,0.6412,0.3435,-0.1173,0.8095,0.2984,-0.2856,0.7376,-0.0253,-0.0522,0.9265,0.1404,0.0022,0.7682,-0.097,-0.0125,0.7976,-1.041,0.3603,1.255,-0.3619,0.3675,1.26,0.0647,0.4332,0.8627,0.0945,0.2343,0.8793,0.122,0.1017,0.9337,0.213,-0.0128,0.9371,0.2299,-0.1179,1.011,0.1526,-0.2115,1.133,-0.934,-0.1182,1.0053,-1.2981,-0.1001,0.9275,-0.234,-0.2308,0.8205,0.0044,-0.3134,0.8383,-0.0557,-0.2102,0.9265,-0.1658,0.1151,0.9819,-0.0282,0.3284,0.9431,CAF001,Dig
3687,0.0288,0.1889,1.1276,0.2653,-0.2152,0.945,-0.0122,-0.4961,0.3322,0.0469,-0.2346,0.4927,-0.3441,-0.3754,0.696,0.1564,-0.2972,0.8758,0.086,-0.2893,0.9853,0.0235,-0.4848,0.9149,0.0626,-0.4457,0.8602,0.1799,-0.3519,0.6412,0.3284,-0.3284,0.8133,0.4301,-0.4223,0.9384,1.5093,-0.3597,0.9775,0.5396,-0.1486,1.1965,0.4457,0.1642,0.6256,0.1095,-0.0469,0.9071,0.3988,0.1486,0.8055,0.1642,0.172,1.0635,0.2424,-0.2424,1.0244,0.2424,-0.1095,0.7976,0.391,-0.2033,0.9149,0.219,-0.6491,0.7664,0.4223,-0.1642,0.6725,0.3597,-0.3441,0.7742,0.1486,-0.4614,0.8133,0.4927,-0.3832,0.9306,0.5239,-0.391,0.8133,0.5552,-0.4692,0.9619,0.4457,-0.477,0.9462,0.3754,-0.4457,0.9853,-1.6519,-0.7069,0.8408,-0.7154,-0.3891,0.7194,-0.2265,-0.2186,0.3991,-0.249,-0.4557,0.7032,-0.0579,-0.5286,0.7867,0.0516,-0.6081,0.8374,0.1364,-0.6087,0.8924,0.2027,-0.5806,0.7391,0.3028,-0.5102,0.6112,0.2002,-0.5583,0.6756,0.7729,-0.4598,0.8805,1.0426,-0.3697,0.7917,0.3757,-0.1745,0.7063,0.1605,-0.229,0.5937,0.0813,-0.5255,0.6397,0.2972,-0.6037,0.5314,0.1827,-0.6231,0.4354,0.0288,-0.6481,0.6125,0.0632,-0.7698,0.5377,0.097,-0.7429,0.5928,CAF001,Dig
3688,-0.0231,-0.6681,0.6112,-0.102,-0.6156,0.6994,-0.1095,-0.6028,0.7476,-0.1095,-0.6021,0.7664,-0.1095,-0.5943,0.7664,-0.1095,-0.5943,0.7742,-0.1095,-0.5943,0.7742,-0.1173,-0.5943,0.782,-0.1173,-0.5943,0.782,-0.1173,-0.5943,0.782,-0.1095,-0.5943,0.7742,0.1486,-0.7429,0.954,-0.1642,-0.6412,0.61,-0.4379,-0.5474,0.782,-0.2581,-0.7585,0.6334,-0.1173,-0.696,0.696,0.086,-0.5709,0.8993,-1.0166,-0.9697,0.9931,-0.477,-0.4457,1.0088,-0.2502,-0.5396,0.8524,-0.1799,-0.5552,0.8211,-0.0547,-0.5787,0.8211,0.0,-0.5552,0.7976,0.0235,-0.5552,0.8211,0.0313,-0.5396,0.8211,0.0391,-0.5318,0.8289,0.0313,-0.5239,0.8289,0.0313,-0.5239,0.8211,0.0313,-0.5239,0.8289,0.0313,-0.5239,0.8289,0.3528,-0.3944,0.7664,0.1733,-0.6428,0.7826,0.0313,-0.3779,0.9556,0.1358,-0.3053,0.8599,-0.2221,-0.4019,1.0072,-0.1351,-0.2086,1.4013,0.1799,0.0053,1.1336,0.1348,-0.1467,0.7107,0.1038,-0.2931,0.6284,0.2002,-0.4113,0.9431,0.1686,-0.3435,1.3147,0.0441,-0.2897,1.1402,0.0807,-0.4116,1.071,0.147,-0.3941,0.9847,0.1439,-0.355,0.9275,0.2027,-0.3269,0.9306,0.259,-0.3022,0.904,0.3378,-0.3253,0.9196,0.2825,-0.2471,0.8711,0.1892,-0.2252,0.9775,CAF001,Dig
3689,0.218,-0.1808,0.9694,-0.2205,-0.1308,0.8036,0.0566,-0.0676,0.9259,0.1955,-0.0704,0.9462,0.1486,-0.0469,0.9384,0.1799,-0.0313,0.9462,0.172,-0.0391,0.9462,0.172,-0.0313,0.9384,0.8837,0.0,1.1886,-0.6334,-0.3675,1.1652,-0.1486,-0.2502,1.0322,0.9775,0.2893,1.1808,0.7273,0.3754,1.0401,0.1486,0.2659,0.8602,0.4301,-0.219,0.7664,0.4379,0.1329,0.7585,0.3675,0.219,0.6725,0.4301,0.3519,0.7507,0.3597,0.3284,0.8602,0.4066,0.305,0.8524,0.6412,0.3832,1.0166,0.0391,0.4145,1.0244,0.0626,0.1564,1.0635,0.5709,-0.0156,0.6882,0.9384,0.5005,0.7976,0.8055,0.4066,0.7116,0.696,0.3988,0.6647,0.6491,0.3988,0.6334,0.6334,0.391,0.6178,0.6178,0.4379,0.6334,0.6328,0.4201,0.5487,0.6172,0.3675,0.5799,0.609,0.3675,0.5953,0.6009,0.3688,0.6084,0.5896,0.3722,0.6365,0.5859,0.3259,0.629,0.594,0.2759,0.6844,0.5552,0.3772,0.6975,0.6713,0.2815,0.6347,0.6412,0.2721,0.6584,0.6309,0.2581,0.6594,0.614,0.2581,0.6725,0.6181,0.2581,0.6563,0.6431,0.1792,0.685,0.3472,0.244,0.7851,0.4761,0.2934,0.889,0.5105,0.2897,0.6197,0.4098,0.3929,0.6065,0.6841,0.341,0.5202,0.5365,0.3128,0.8774,CAF001,Dig
3690,0.5361,0.1354,1.1811,0.4304,-0.3112,0.8346,0.6303,-0.1589,0.9834,1.0088,-0.7429,0.9931,1.0166,-0.5239,1.1026,0.5339,-0.1232,1.1167,0.5615,-0.0638,0.904,0.2962,0.0923,1.0413,0.4226,0.021,0.9168,0.2565,0.0078,0.5834,0.4048,0.0097,0.8505,0.3813,0.0135,0.8358,0.3438,-0.0272,0.8258,0.3513,-0.096,0.8665,0.33,-0.0829,0.8946,0.3206,-0.0782,0.8993,0.3094,-0.0857,0.8918,0.3541,-0.041,0.8755,0.341,-0.0272,0.8855,0.4066,-0.172,0.9556,0.3697,-0.1602,0.9431,0.3475,-0.1254,0.9096,0.345,-0.1217,0.9071,0.3363,-0.1114,0.9012,0.3363,-0.1032,0.9056,0.3363,-0.0885,0.9203,0.5771,-0.0723,1.1636,0.092,0.2318,1.0238,0.0626,0.0547,0.8446,0.1955,0.3441,0.9853,0.3754,0.1877,0.9853,0.3519,0.3988,0.8602,0.2033,0.3206,0.8211,0.086,0.4457,0.8524,0.3832,0.696,0.7742,0.1799,0.5552,0.8289,0.0938,0.4927,0.8524,0.1408,0.4066,0.8524,0.1877,0.3597,0.782,0.1642,0.3206,0.9462,0.3597,0.3206,1.2981,-0.6569,0.0938,1.3216,-0.2659,0.1799,1.0401,0.1564,0.2111,0.8289,0.3363,0.4614,0.8133,-0.0235,0.3519,0.9071,-0.0626,0.2111,1.0244,-0.0938,0.2033,0.9931,0.0156,0.172,0.9853,-0.0235,0.1799,0.7898,CAF001,Dig
3691,0.0156,0.1877,0.8758,0.0626,0.2111,0.8289,0.219,0.1329,1.0244,-0.1486,0.2972,1.1183,-0.5474,0.1408,0.8211,0.1451,0.4626,1.255,0.0475,0.2906,1.1561,-0.1251,0.1289,1.1323,-0.1189,0.1539,1.0535,-0.0688,0.147,0.9916,-0.0169,0.1683,0.9353,-0.0397,0.1586,0.9065,0.1017,0.1517,1.0053,0.2571,0.173,0.9522,0.0751,0.2768,0.807,-0.1961,0.2981,0.9168,-0.1098,0.2143,1.0125,-0.0773,0.1573,0.9881,-0.0328,0.2631,0.9662,0.0031,0.3097,0.8805,0.0707,0.182,0.9913,-0.3663,0.2609,1.2518,-0.4007,0.1989,1.0197,0.0876,0.1664,0.8458,0.3441,0.147,1.1167,0.2111,0.0816,1.1361,0.1523,0.2011,1.0573,0.2997,-0.299,0.8896,-0.3284,-0.1486,1.1965,-0.7116,0.5161,0.8133,0.3441,0.305,1.1183,0.0235,-0.477,1.1417,0.0156,-0.1955,0.9619,0.1408,-0.086,0.8524,0.1799,-0.086,0.9306,0.3519,0.1095,0.8758,0.1642,0.0391,1.0948,0.2033,0.2346,0.8211,0.3363,0.0391,0.7664,0.3597,-0.0782,0.868,0.3363,0.0156,0.8524,0.3597,0.0235,0.9462,0.3675,0.0156,0.9853,0.2815,0.0313,0.9775,0.4066,-0.0156,0.9853,0.3597,-0.0391,0.9071,1.2668,0.0078,1.0792,-0.0078,-0.2737,1.1652,-0.4066,-0.782,0.8446,-0.2972,-0.2581,1.1417,CAF001,Dig
3692,0.127,0.3284,0.5546,0.7463,0.2221,0.5465,0.4045,0.0235,0.5762,0.5396,0.0469,0.9619,0.5083,-0.0156,0.8837,0.4548,-0.0388,0.8821,0.4792,-0.0325,0.8483,0.5027,-0.0441,0.9009,1.1045,-0.0222,0.9884,0.8821,-0.0907,1.0666,0.792,-0.3628,0.8915,0.3263,-0.3065,0.6425,0.3932,-0.3359,0.7789,0.5418,-0.1852,0.7942,0.5255,-0.1157,0.7867,0.5092,-0.0879,0.8123,0.5042,-0.0554,0.8249,0.7685,-0.035,0.8371,1.0,-0.0225,0.9102,0.8618,0.2143,0.9572,0.5289,0.1824,0.7088,0.4548,0.0782,0.7836,0.406,-0.0119,1.0075,0.417,-0.0469,0.9547,0.3675,-0.0219,0.9165,0.4439,-0.0288,0.9609,0.7711,-0.0863,1.1348,0.3672,0.0429,0.6825,0.2268,0.0469,0.7038,0.3363,0.0469,0.8602,0.1955,-0.1564,0.7507,0.5239,-0.1408,0.8446,0.477,-0.1017,0.8524,0.5552,-0.1095,1.259,0.7273,-0.1486,1.3216,-0.0391,-0.0782,0.3988,-0.0782,-0.1408,0.6647,0.1877,-0.1251,0.8758,0.219,-0.172,0.7351,0.4457,-0.172,0.7585,0.4379,-0.1564,0.8055,0.5005,-0.1408,0.9306,0.5865,-0.2346,1.1183,0.0391,-0.1329,0.6412,0.2972,-0.0235,0.9462,0.0078,-0.1017,0.61,0.1329,-0.1173,0.9462,0.1329,-0.0938,0.954,0.2346,-0.0626,0.9462,0.2502,-0.0704,0.9384,CAF001,Sweep
3693,-0.5424,0.091,0.7432,-0.8076,0.0141,0.3816,-0.9265,-0.0845,0.4536,-0.944,-0.0156,0.4586,-0.8821,-0.0203,0.502,-0.8314,-0.0091,0.5784,-0.7635,0.0795,0.6,-0.681,0.0926,0.6143,-0.5618,0.0832,0.7244,-0.5411,-0.1095,0.7851,-0.7876,-0.0863,0.493,-0.822,-0.0463,0.4073,-0.8668,-0.0504,0.4886,-0.8955,0.046,0.4436,-0.8446,0.025,0.5271,-0.7188,-0.0144,0.6053,-0.4761,-0.0791,0.761,-0.5092,-0.0397,0.8605,-0.6325,-0.0335,0.65,-1.001,-0.4082,0.341,-0.9753,-0.3625,0.2947,-0.8646,0.0078,0.5724,-0.8308,0.0691,0.61,-0.8055,0.0469,0.6256,-0.7976,0.0469,0.7038,-0.696,0.1173,0.8524,-0.1173,-0.0313,0.9853,-0.782,-0.2737,0.2893,-0.61,-0.0078,0.696,-0.5396,-0.1173,0.5787,-0.7898,-0.0626,2.1427,-0.5239,-0.0156,1.5562,-0.4536,0.0469,1.2434,-0.3832,0.0469,1.0792,-0.3284,0.0782,1.001,-0.2111,0.0235,1.0792,-0.3754,-0.0156,0.868,-0.5005,-0.086,0.8367,-0.5552,-0.0156,0.6021,-0.1251,0.0938,1.5014,-0.1095,0.0547,1.2434,-0.1251,0.0626,1.0948,-0.0704,0.0547,1.0244,0.0313,0.0313,1.1339,0.6178,-0.219,1.0322,-0.3441,-0.1799,0.7116,-0.6412,-0.219,0.8915,-0.305,0.0469,2.2991,-0.1095,0.0,1.6266,-0.0782,-0.0313,1.2903,CAF001,Sweep
3694,-0.0985,-0.177,0.7607,-0.0547,-0.2111,1.0479,-0.1955,-0.305,1.1808,-0.2502,-0.2111,1.0713,-0.2581,-0.1486,1.0948,-0.0078,-0.1799,1.0479,-0.0078,-0.4614,0.8837,-0.1799,-0.391,0.6803,-0.3206,-0.2893,0.696,-0.1642,-0.1173,1.0557,-0.0782,-0.2893,1.1808,-0.0313,-0.2346,1.0635,0.0,-0.2424,1.0166,0.0,-0.2268,1.0244,0.1564,-0.2502,0.9931,0.1095,-0.4145,0.9462,0.0782,-0.3363,0.7898,-0.2111,-0.1329,1.1183,-0.0235,-0.0469,0.954,-0.2893,-0.4145,0.9149,-0.1251,-0.2111,1.0948,-0.1486,-0.1329,1.0166,-0.1173,-0.1017,0.9931,-0.0938,-0.1017,0.9853,-0.0547,-0.0235,1.0401,0.1017,-0.1564,0.9149,0.1642,-0.2346,0.9384,-0.1017,-0.2659,0.7742,-0.2699,-0.244,0.7529,-0.3832,-0.1139,0.8399,-0.5602,-0.3216,1.2159,-0.5358,-0.1426,1.0538,-0.5005,-0.0485,0.9619,-0.3985,0.0222,0.9619,-0.2518,-0.0597,0.9903,-0.0303,-0.1905,1.026,0.1602,-0.3044,0.9462,-0.2033,-0.2612,0.9556,-0.2759,-0.1673,0.863,-0.1364,-0.173,0.8211,0.0466,-0.2177,0.9594,0.168,-0.1658,0.9844,0.1861,-0.1814,0.9634,0.32,-0.3234,1.4245,0.6168,-0.3591,1.402,0.2127,-0.3159,0.8389,-0.1092,-0.1564,0.7141,-0.1924,-0.2721,1.0401,-0.2559,-0.2997,1.046,-0.0938,-0.2352,1.0116,CAF001,Sweep
3695,0.0016,-0.198,0.9728,0.2581,-0.2268,1.0244,0.4457,-0.2737,1.0479,0.0213,-0.1871,0.9709,-0.1883,-0.1689,0.8364,0.1473,-0.147,1.1129,0.0272,-0.249,1.1711,0.061,-0.2377,1.0823,0.1586,-0.2283,1.1173,0.3813,-0.2384,1.0923,0.4276,-0.1977,0.9497,-0.0694,-0.2218,1.097,-0.2064,-0.2455,1.1183,0.1282,-0.2599,1.3873,0.4104,-0.2124,1.3185,0.3169,-0.1555,1.2168,0.3031,-0.1198,1.2662,0.8477,-0.3394,1.3466,0.6344,-0.2674,1.274,0.087,-0.1461,0.9994,-0.0607,-0.1542,1.1977,0.3616,-0.2931,1.3078,0.3566,-0.2987,1.1558,0.2681,-0.2631,1.0394,0.2718,-0.148,1.0726,0.6838,-0.2696,1.0,-0.0235,-0.1877,0.4848,0.0391,-0.3441,0.8602,-0.1877,-0.0938,1.1104,-0.1486,-0.2033,0.9697,0.086,-0.219,0.9384,0.1564,-0.1955,0.954,0.219,-0.172,0.9775,0.172,-0.1564,1.1652,0.7273,-0.086,1.0244,-0.1017,-0.2033,0.5787,-0.1877,-0.2815,0.7351,-0.1564,-0.3128,1.1026,-0.391,-0.2972,0.8133,-0.3128,-0.2111,0.9384,-0.1486,-0.1877,0.9462,0.0704,-0.1095,1.3685,0.2972,-0.2346,1.2121,0.1642,-0.2502,0.9149,0.1408,-0.3988,0.7194,-0.0235,-0.1799,0.6725,-0.1799,-0.2659,0.9149,0.1095,-0.3832,1.1495,0.086,-0.2268,1.0557,0.0782,-0.1564,1.0244,CAF001,Sweep
